frame,parameter,unit,value,outcome,local_valid,passed,max_position_error_m,max_orientation_error_rad,mean_position_error_m,mean_orientation_error_rad,reason
3,axial_translation,m,-0.09999999999999998,evaluated,True,True,3.332294980281256e-16,2.9802322387695312e-08,1.2054534568460986e-16,6.496605239279071e-09,
3,axial_translation,m,0.0,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.2276193477342662e-16,6.496605239279071e-09,
3,axial_translation,m,0.10000000000000009,evaluated,True,True,3.3308497693360055e-16,2.9802322387695312e-08,1.2365750429399323e-16,6.496605239279071e-09,
3,axial_translation,m,0.19999999999999996,evaluated,True,True,3.335183523443879e-16,2.9802322387695312e-08,1.2397076354950164e-16,6.496605239279071e-09,
3,axial_translation,m,0.30000000000000004,evaluated,True,True,3.3524625175704445e-16,2.9802322387695312e-08,1.2354377387490877e-16,6.496605239279071e-09,
3,axial_translation,m,0.3999999999999999,evaluated,True,True,3.002224531865041e-16,2.9802322387695312e-08,1.376344996182884e-16,6.496605239279071e-09,
3,axial_translation,m,0.5,evaluated,True,True,2.6766507790745728e-16,2.9802322387695312e-08,1.287467331101709e-16,6.496605239279071e-09,
3,axial_translation,m,0.6000000000000001,evaluated,True,True,3.6506759942727966e-16,2.9802322387695312e-08,1.4056847238447158e-16,6.496605239279071e-09,
3,axial_translation,m,0.7,evaluated,True,True,4.442111658486589e-16,2.9802322387695312e-08,1.3953981932936442e-16,6.496605239279071e-09,
3,axial_translation,m,0.8,evaluated,True,True,3.479320825490087e-16,2.9802322387695312e-08,1.348177873373771e-16,6.496605239279071e-09,
3,axial_translation,m,0.8999999999999999,evaluated,True,True,3.479320825490087e-16,2.9802322387695312e-08,1.3660813016960404e-16,6.496605239279071e-09,
3,axial_translation,m,1.0,evaluated,True,True,3.332294980281256e-16,2.9802322387695312e-08,1.4272770781585596e-16,6.496605239279071e-09,
6,axial_translation,m,-1.0,evaluated,True,True,5.661048867003676e-16,2.9802322387695312e-08,1.7877915067241113e-16,6.496605239279071e-09,
